query_id,text,educational,diagnostic,crisis,source,gold_label
SRH001,Questions on menstruation and maintaining good SRH,1,0,0,real,educational
SRH002,Would I die using postinor 2,1,1,1,real,"crisis,diagnostic,educational"
SRH003,Any question bothering me,1,0,0,real,educational
SRH004,"Sex, period and female hormones",1,1,0,real,"diagnostic,educational"
SRH005,Till then,0,1,0,real,diagnostic
SRH006,What causes Menstrual Pain,1,1,0,real,"diagnostic,educational"
SRH007,How to prevent Stains or leaks during a period,1,0,0,real,educational
SRH008,Pads suggestions for different types of flows,1,0,0,real,educational
SRH009,How to prevent pregnancy,1,0,0,real,educational
SRH010,What causes STIs and UTIs,1,1,0,real,"diagnostic,educational"
SRH011,How do I know how my reproductive system operates?,1,0,0,real,educational
SRH012,How can one know her safe period,1,0,0,real,educational
SRH013,How can one avoid STDs,1,0,0,real,educational
SRH014,How can I tell if I am ovulating?,1,0,0,real,educational
SRH015,What is the most effective contraceptive method for preventing pregnancy and STIs?,1,0,0,real,educational
SRH016,Can I get pregnant if I have unprotected sex during or shortly after my period?,1,0,0,real,educational
SRH017,"What does consent look like in a healthy relationship, and how can I communicate my boundaries effectively?",1,0,0,real,educational
SRH018,Why do my vjay itch me atimes /why dose it smell and I wash it every day /how do I clear bumps on my private part and I try my best to get rid of armpit odor,1,1,0,real,"diagnostic,educational"
SRH019,Is masturbation healthy?,1,0,0,real,educational
SRH020,What are the downsides to it?,1,0,0,real,educational
SRH021,Does it cause not being able to reproduce?,1,1,0,real,"diagnostic,educational"
SRH022,How do men reproduce,1,0,0,real,educational
SRH023,Sex,1,0,0,real,educational
SRH024,Pregnancy,1,1,0,real,"diagnostic,educational"
SRH025,Female reproductive health,1,0,0,real,educational
SRH026,Inflation pregnancy and sex,1,1,1,real,"crisis,diagnostic,educational"
SRH027,1.How can I know if my discharge is normal or a sign of an STI,1,1,0,real,"diagnostic,educational"
SRH028,2.Is it safe to have sex during my period and what are the risks,1,0,0,real,educational
SRH029,3.How do I talk to my partner about using condom without starting a fight,1,0,0,real,educational
SRH030,Why did a person become sex addict,1,0,0,real,educational
SRH031,How to actually bring up this conversation with a partner,1,0,0,real,educational
SRH032,How to ensure one partner is not carrying STIs,1,1,0,real,"diagnostic,educational"
SRH033,Things that causes missed menstruation,1,0,0,real,educational
SRH034,time my mestraul cycle,1,0,0,real,educational
SRH035,How can i manage a hormonal imbalance?,1,1,0,real,"diagnostic,educational"
SRH036,What are the fruits and food i should avoid as someone with a hormonal imbalance?,1,0,0,real,educational
SRH037,Where is the nearest clinic near me,1,1,1,real,"crisis,diagnostic,educational"
SRH038,"STI,pregnancy,conception",1,1,0,real,"diagnostic,educational"
SRH039,Recommend healthy sex styles,1,0,0,real,educational
SRH040,Recommend healthy habits to adopt after sex,1,0,0,real,educational
SRH041,Recommend good condom products,1,0,0,real,educational
SRH042,Sexual safety,1,0,0,real,educational
SRH043,How do one contact HIV,1,1,1,real,"crisis,diagnostic,educational"
SRH044,How does a child grow in the human reproductive system,1,0,0,real,educational
SRH045,What the cure to AIDS,1,1,0,real,"diagnostic,educational"
SRH046,How to reduce menstrual cramps .,1,1,0,real,"diagnostic,educational"
SRH047,Drugs for curing STI.,1,1,1,real,"crisis,diagnostic,educational"
SRH048,What’s the first thing to do after Rape?,0,1,1,real,"crisis,diagnostic"
SRH049,Give more important reasons to avoid unprotected sex,1,1,0,real,"diagnostic,educational"
SRH050,STI are mostly common amongst which gender?,1,1,0,real,"diagnostic,educational"
SRH051,Well being related questions,1,1,0,real,"diagnostic,educational"
SRH052,How does the clitoris give pleasure?,1,0,0,real,educational
SRH053,How do you know if you were circumcised?,1,0,0,real,educational
SRH054,What is oral sex?,1,0,0,real,educational
SRH055,Reproductive health,1,1,1,real,"crisis,diagnostic,educational"
SRH056,Menstrual cycle,1,1,0,real,"diagnostic,educational"
SRH057,STD,1,1,1,real,"crisis,diagnostic,educational"
SRH058,How does the reproductive system work?,1,1,0,real,"diagnostic,educational"
SRH059,How do you identify a rape victim ?,1,1,1,real,"crisis,diagnostic,educational"
SRH060,How does a Virginia cleanse it self ?,1,1,0,real,"diagnostic,educational"
SRH061,Best way to maintain hygiene?,1,1,0,real,"diagnostic,educational"
SRH062,Symptoms of STIs,1,1,1,real,"crisis,diagnostic,educational"
SRH063,"How can I protect myself from sexually transmitted infections (STIs), and when should I get tested?",1,0,0,real,educational
SRH064,"How can I track my menstrual cycle, and what is considered a normal period?",1,0,0,real,educational
SRH065,"How do I know if the changes happening to my body are normal, or if I should see a healthcare provider?",1,1,0,real,"diagnostic,educational"
SRH066,Dangers of abort8ns,1,0,0,real,educational
SRH067,What's the cause of erectile dysfunction?,1,1,1,real,"crisis,diagnostic,educational"
SRH068,Why can't some men semen fertilize a female egg even though they've been living w healthy life?,1,1,0,real,"diagnostic,educational"
SRH069,How to know  if your semen is in good condition or not as a man,1,1,0,real,"diagnostic,educational"
SRH070,How to perform more on bed,1,1,0,real,"diagnostic,educational"
SRH071,Can Uterine fibroids affect fertility or make it harder to get pregnancy.,1,1,0,real,"diagnostic,educational"
SRH072,What is the best way to prevent STI  and protect reproductive health.,1,1,0,real,"diagnostic,educational"
SRH073,"How can I naturally 
Maintain hormonal balance and improve menstruation and reproductive health.",1,1,0,real,"diagnostic,educational"
SRH074,How to reduce menstrual pain,1,1,0,real,"diagnostic,educational"
