id,text,participant_id,age_range,gender,language
SRH124,What does consent look like in a healthy relationship,P010,20–24,Female,English
SRH125,and how can I communicate my boundaries effectively?,P010,20–24,Female,English
SRH126,Why do my vjay itch me atimes,P011,15–19,Female,English
SRH127,why dose it smell and I wash it every day,P011,15–19,Female,English
SRH128,how do I clear bumps on my private part and I try my best to get rid of armpit odor,P011,15–19,Female,English
SRH129,menstruation,P076,20–24,Female,English
SRH130,how to take care of my skin,P076,20–24,Female,English
SRH131,"I have been having this yellowish discharge for almost two weeks now and it has a strange smell, is something wrong with me?",SYNTHETIC,,,
SRH132,"My period has not come for almost two months and I am not pregnant, what could be happening to my body?",SYNTHETIC,,,
SRH133,"I feel a sharp burning sensation every time I urinate and it started after I was with someone, should I be worried?",SYNTHETIC,,,
SRH134,"There is a small painful lump near my private area and I do not know what it is, what should I do?",SYNTHETIC,,,
SRH135,"I have been having stomach cramps that are not related to my period and they come and go, what could be causing this?",SYNTHETIC,,,
SRH136,"My boyfriend told me he has an infection and I am scared I might have caught something from him, how do I know if I have it too?",SYNTHETIC,,,
SRH137,"I noticed some small bumps around my private parts that were not there before, I am too embarrassed to go to a clinic, what are they?",SYNTHETIC,,,
SRH138,"I had unprotected sex three weeks ago and now I have a rash on my body, could this be related?",SYNTHETIC,,,
SRH139,"My period comes every two weeks instead of every month and the bleeding is very heavy, is this normal for someone my age?",SYNTHETIC,,,
SRH140,I have been feeling pain during sex and I do not know if it is normal or if something is wrong with me inside?,SYNTHETIC,,,
SRH141,"I took the morning after pill but my period is now two weeks late and I am very anxious, what is happening?",SYNTHETIC,,,
SRH142,"There is itching and redness around my private area that has been there for about a week, what could be causing it?",SYNTHETIC,,,
SRH143,"I have never been tested for anything before and I am worried because I have had more than one partner, how do I know if I am clean?",SYNTHETIC,,,
SRH144,"I had sex for the first time last month and since then I have been having pain in my lower abdomen, is this connected?",SYNTHETIC,,,
SRH145,"My breasts have been very tender and sore for the past two weeks and I do not know why, should I be concerned?",SYNTHETIC,,,
SRH146,"I noticed my discharge has changed colour and consistency recently, I do not know if I should see a doctor or if it is normal?",SYNTHETIC,,,
SRH147,I think I may have gotten something from someone but I am too scared to go to the hospital because my parents might find out?,SYNTHETIC,,,
SRH148,"I have been having headaches and dizziness since I started taking a contraceptive pill my friend gave me, is this dangerous?",SYNTHETIC,,,
SRH149,"After my last relationship ended I noticed some sores appeared down there, could this be an STI and how long does it take for symptoms to show?",SYNTHETIC,,,
SRH150,"I am 19 and my periods have been very irregular since I started having sex, my friend said this is normal but I am not sure?",SYNTHETIC,,,
SRH151,Something happened to me at a party last week that I did not agree to and I do not know who to talk to or what to do about it?,SYNTHETIC,,,
SRH152,"I am pregnant and I am only 17, my boyfriend has disappeared and my parents are very strict, I am scared and I do not know what to do?",SYNTHETIC,,,
SRH153,My uncle has been touching me in ways that make me uncomfortable and I am scared to tell anyone because no one will believe me?,SYNTHETIC,,,
SRH154,I was forced to have sex by someone I trusted and I have been keeping it to myself for months because I am ashamed?,SYNTHETIC,,,
SRH155,"I think I might be pregnant and if my family finds out they will throw me out of the house, I am panicking and do not know where to turn?",SYNTHETIC,,,
SRH156,"Someone sent my private pictures to other people without my permission and now I am being threatened, I do not know what to do?",SYNTHETIC,,,
SRH157,I feel like I cannot tell anyone about what happened to me because in my community this kind of thing is seen as the girl's fault?,SYNTHETIC,,,
SRH158,"A man at my workplace has been forcing himself on me and threatening my job if I tell anyone, I am scared and need help?",SYNTHETIC,,,
SRH159,"I have been in a relationship where my partner forces me to have sex even when I say no, I did not know this was wrong until recently?",SYNTHETIC,,,
SRH160,"I am 16 and an older man has been giving me money and now he is pressuring me to do things I am not comfortable with, I feel trapped?",SYNTHETIC,,,
SRH161,What happened to me last month was not my fault right? I said no but he did not stop and now I am afraid to talk about it with anyone?,SYNTHETIC,,,
SRH162,"I think someone put something in my drink at a party and I woke up not knowing what happened, I am very confused and scared?",SYNTHETIC,,,
SRH163,"I am three months pregnant and the person responsible is denying everything, my family does not know and I feel completely alone?",SYNTHETIC,,,
SRH164,"My boyfriend beats me sometimes and also forces me to have sex with him, I am scared to leave because he says he will hurt me?",SYNTHETIC,,,
SRH165,"I feel like my life is over since what happened to me, I have not been able to sleep or eat properly and I do not want to talk to anyone?",SYNTHETIC,,,
SRH166,Someone in my family has been abusing me for a long time and I am finally ready to tell someone but I do not know how or where to start?,SYNTHETIC,,,
SRH167,"I am a young girl and a teacher at my school has been making sexual advances towards me and touching me inappropriately, what do I do?",SYNTHETIC,,,
SRH168,"I feel so ashamed about what happened that I have been thinking about hurting myself, I do not know who to talk to?",SYNTHETIC,,,
SRH169,I was assaulted by a group of boys I know and I am too terrified to go to the police because they said they will do worse if I report?,SYNTHETIC,,,
SRH170,I found out I am pregnant from an assault and I do not know what my options are or who can help me without judging me?,SYNTHETIC,,,
SRH171,What exactly happens to a girl's body during puberty and is it normal for it to happen at different ages for different people?,SYNTHETIC,,,
SRH172,Can a girl get pregnant the very first time she has sex or does it take multiple times before pregnancy can happen?,SYNTHETIC,,,
SRH173,What is the difference between an STI and an STD and are they the same thing?,SYNTHETIC,,,
SRH174,How effective is the contraceptive injection compared to the pill and which one is better for someone my age?,SYNTHETIC,,,
SRH175,If a condom breaks during sex what are the steps I should take immediately afterwards?,SYNTHETIC,,,
SRH176,What does it mean when people say someone is HIV positive and can a person look healthy and still have HIV?,SYNTHETIC,,,
SRH177,Is it true that you cannot get pregnant during your period or is that just a myth?,SYNTHETIC,,,
SRH178,How long after unprotected sex can you still take the morning after pill and does it always work?,SYNTHETIC,,,
SRH179,What are the signs that someone might have a sexually transmitted infection even if they feel completely fine?,SYNTHETIC,,,
SRH180,Can STIs be cured completely or do some of them stay with you forever once you have them?,SYNTHETIC,,,
SRH181,What is consent and how do you know if you have properly given consent to something?,SYNTHETIC,,,
SRH182,Is it normal to feel pain during your first time having sex and how long does that usually last?,SYNTHETIC,,,
SRH183,What is the safest form of contraception for a young person who has never used contraception before?,SYNTHETIC,,,
SRH184,Can a person get an STI from oral sex or only from penetrative sex?,SYNTHETIC,,,
SRH185,What are possible causes of infertility in virgins?,P079,20–24,Female,English
SRH186,Ways to prevent sexually transmitted diseases,P079,20–24,Female,English
SRH187,How to prevent STIs,P080,20–24,Female,English
SRH188,Pregnancy and how Menstrual calculations help,P080,20–24,Female,English
SRH189,Contraceptives and their side effects,P080,20–24,Female,English
SRH190,Factors that can or will impact delayed menstruation,P081,20–24,Female,English
SRH191,Design of sexual content for girls and women reproductive and sex organs,P081,20–24,Female,English
SRH192,Safe sex,P081,20–24,Female,English
