text,category
"I have been having this yellowish discharge for almost two weeks now and it has a strange smell, is something wrong with me?",diagnostic
"My period has not come for almost two months and I am not pregnant, what could be happening to my body?",diagnostic
"I feel a sharp burning sensation every time I urinate and it started after I was with someone, should I be worried?",diagnostic
"There is a small painful lump near my private area and I do not know what it is, what should I do?",diagnostic
"I have been having stomach cramps that are not related to my period and they come and go, what could be causing this?",diagnostic
"My boyfriend told me he has an infection and I am scared I might have caught something from him, how do I know if I have it too?",diagnostic
"I noticed some small bumps around my private parts that were not there before, I am too embarrassed to go to a clinic, what are they?",diagnostic
"I had unprotected sex three weeks ago and now I have a rash on my body, could this be related?",diagnostic
"My period comes every two weeks instead of every month and the bleeding is very heavy, is this normal for someone my age?",diagnostic
"I have been feeling pain during sex and I do not know if it is normal or if something is wrong with me inside?",diagnostic
"I took the morning after pill but my period is now two weeks late and I am very anxious, what is happening?",diagnostic
"There is itching and redness around my private area that has been there for about a week, what could be causing it?",diagnostic
"I have never been tested for anything before and I am worried because I have had more than one partner, how do I know if I am clean?",diagnostic
"I had sex for the first time last month and since then I have been having pain in my lower abdomen, is this connected?",diagnostic
"My breasts have been very tender and sore for the past two weeks and I do not know why, should I be concerned?",diagnostic
"I noticed my discharge has changed colour and consistency recently, I do not know if I should see a doctor or if it is normal?",diagnostic
"I think I may have gotten something from someone but I am too scared to go to the hospital because my parents might find out?",diagnostic
"I have been having headaches and dizziness since I started taking a contraceptive pill my friend gave me, is this dangerous?",diagnostic
"After my last relationship ended I noticed some sores appeared down there, could this be an STI and how long does it take for symptoms to show?",diagnostic
"I am 19 and my periods have been very irregular since I started having sex, my friend said this is normal but I am not sure?",diagnostic
"Something happened to me at a party last week that I did not agree to and I do not know who to talk to or what to do about it?",crisis
"I am pregnant and I am only 17, my boyfriend has disappeared and my parents are very strict, I am scared and I do not know what to do?",crisis
"My uncle has been touching me in ways that make me uncomfortable and I am scared to tell anyone because no one will believe me?",crisis
"I was forced to have sex by someone I trusted and I have been keeping it to myself for months because I am ashamed?",crisis
"I think I might be pregnant and if my family finds out they will throw me out of the house, I am panicking and do not know where to turn?",crisis
"Someone sent my private pictures to other people without my permission and now I am being threatened, I do not know what to do?",crisis
"I feel like I cannot tell anyone about what happened to me because in my community this kind of thing is seen as the girl's fault?",crisis
"A man at my workplace has been forcing himself on me and threatening my job if I tell anyone, I am scared and need help?",crisis
"I have been in a relationship where my partner forces me to have sex even when I say no, I did not know this was wrong until recently?",crisis
"I am 16 and an older man has been giving me money and now he is pressuring me to do things I am not comfortable with, I feel trapped?",crisis
"What happened to me last month was not my fault right? I said no but he did not stop and now I am afraid to talk about it with anyone?",crisis
"I think someone put something in my drink at a party and I woke up not knowing what happened, I am very confused and scared?",crisis
"I am three months pregnant and the person responsible is denying everything, my family does not know and I feel completely alone?",crisis
"My boyfriend beats me sometimes and also forces me to have sex with him, I am scared to leave because he says he will hurt me?",crisis
"I feel like my life is over since what happened to me, I have not been able to sleep or eat properly and I do not want to talk to anyone?",crisis
"Someone in my family has been abusing me for a long time and I am finally ready to tell someone but I do not know how or where to start?",crisis
"I am a young girl and a teacher at my school has been making sexual advances towards me and touching me inappropriately, what do I do?",crisis
"I feel so ashamed about what happened that I have been thinking about hurting myself, I do not know who to talk to?",crisis
"I was assaulted by a group of boys I know and I am too terrified to go to the police because they said they will do worse if I report?",crisis
"I found out I am pregnant from an assault and I do not know what my options are or who can help me without judging me?",crisis
"What exactly happens to a girl's body during puberty and is it normal for it to happen at different ages for different people?",educational
"Can a girl get pregnant the very first time she has sex or does it take multiple times before pregnancy can happen?",educational
"What is the difference between an STI and an STD and are they the same thing?",educational
"How effective is the contraceptive injection compared to the pill and which one is better for someone my age?",educational
"If a condom breaks during sex what are the steps I should take immediately afterwards?",educational
"What does it mean when people say someone is HIV positive and can a person look healthy and still have HIV?",educational
"Is it true that you cannot get pregnant during your period or is that just a myth?",educational
"How long after unprotected sex can you still take the morning after pill and does it always work?",educational
"What are the signs that someone might have a sexually transmitted infection even if they feel completely fine?",educational
"Can STIs be cured completely or do some of them stay with you forever once you have them?",educational
"What is consent and how do you know if you have properly given consent to something?",educational
"Is it normal to feel pain during your first time having sex and how long does that usually last?",educational
"What is the safest form of contraception for a young person who has never used contraception before?",educational
"Can a person get an STI from oral sex or only from penetrative sex?",educational
